noi_permit_number,project_name,latitude,longitude,receiving_waters,total_land_area,estimated_area,construct_start,construct_end
3337,Ironside Crossing,39.640556,-75.766944,Christina River,8.2,4,6/1/2010,6/1/2011
3338,Huber's Crossing,39.430833,-75.976111,C & D Canal East,25.4,24.8,6/1/2010,6/30/2011
3339,Historic Red Clay Valley Inc.,39.729444,-75.629167,Red Clay Creek,4.4,0.8,2/10/2010,6/10/2010
3340,DRC Property,38.476389,-75.110278,Buntings Branch,12.74,13.74,4/1/2010,4/1/2012
3345,Traditions at Pike Creek,39.751913,-75.706512,White Clay Creek,25.56,16.1,6/1/2010,6/1/2012
3346,Lauras Glen Subdivsion,39.691389,-75.730278,White Clay Creek,4.5,3.4,11/1/2005,11/1/2010
3348,Bay Landing,38.810278,-75.301111,Broadkill River,41.38,19.06,4/1/2010,4/1/2012
3353,Baltimore AirCoil,38.921667,-75.469722,Mispillion River,49.58,4.66,3/1/2010,9/1/2010
3355,St. Andrew's School,39.434444,-75.690556,Appoquinimink River,1330,4.9,4/1/2010,9/1/2010
3356,Deerbrook,38.629444,-75.204167,Iron Branch,57.1,13.4,2/1/2010,3/1/2010
3362,Governor Printz Interceptors (GPI),39.785758,-75.4717,Delaware River,31.2,20.4,6/1/2010,12/31/2012
3363,Environment Improvement Cap - Phase I,39.7075,-75.569167,Christina River,155.3,9.2,11/15/2009,4/30/2010
3367,The Preserve at Robinson Farms,39.413889,-75.648889,Appoquinimink River,183.6,97,9/10/2010,9/1/2015
3377,"Island Farm, The (Parcel 1)",38.738333,-75.25,Broadkill River,9,9.2,7/1/2010,11/1/2010
3391,Villages of Maple Dale Senior Housing Community,39.171389,-75.574167,St. Jones River,152.19,6.75,9/1/2010,3/1/2012
3402,Temple Beth El - Temko Center,39.710639,-75.736861,White Clay Creek,9.2,9.2,5/1/2010,3/1/2011
3403,Army Creek Reforestation,39.649722,-75.608333,Army Creek,65.61,4.5,12/1/2010,7/18/2019
3409,Sand Hill Valley (formerly Whispering Meadows),38.730278,-75.350278,Broadkill River,262,140,7/1/2010,9/1/2010
3410,Metro Business Park,39.6925,-75.658333,White Clay Creek,27.22,19.5,6/1/2010,6/1/2012
3411,109-111 Elkton Road (Campus Crossing),39.679722,-75.759444,Christina River,0.3,0.3,6/1/2010,6/1/2011
3440,Seaford Freight Rail Lines Culvert Rehabilitation,38.666667,-75.625,Nanticoke River,4.8,0.42,7/1/2010,10/31/2010
3441,Townsend Freight Rail Lines Culvert Rehabilitation,39.416667,-75.625,Blackbird Creek,29.6,1.3,7/1/2010,10/31/2010
3442,411 Lore Avenue,39.764167,-75.504167,Delaware River,1.03,0.8,5/1/2010,5/1/2012
3452,STOCKLEY SAND AND GRAVEL LLC - BORROW PIT,38.6375,-75.360833,Broadkill River,40.35,36.53,9/1/2010,8/1/2020
3459,Lands of S & E Gallo Family Limited Partnership,38.521667,-75.055833,Little Assawoman,0.64,0.64,7/1/2010,7/1/2011
3461,DE-502 Heatherwoods,39.63,-75.706111,Christina River,5,0.3,9/1/2010,12/15/2010
3462,2010 Expansion Project - Seaford,38.660684,-75.593954,Nanticoke River,2.6,2.6,6/7/2010,9/30/2010
3470,Manor Care,39.749444,-75.7,Red Clay Creek,10,1.5,8/1/2010,8/1/2014
3480,HOGAN DRIVE TOWNHOUSE ADDITION,39.736111,-75.7,White Clay Creek,1.46,2.2,9/10/2010,8/31/2012
3481,BRIAR PARK,39.106111,-75.547778,St. Jones River,3.6,4.7,8/1/2010,8/1/2011
3483,WINDSOR COMMONS AT HYETTS CORNER,39.52,-75.661389,Appoquinimink River,78.1,65.5,12/15/2010,12/15/2015
3488,Shellhorn & Hill,39.625,-75.640278,Red Lion Creek,4,3.5,9/1/2010,1/1/2011
3492,Delaware Hospice,39.718611,-75.713333,White Clay Creek,17.9,11.1,10/1/2010,11/1/2011
3494,DRAGON RUN PARK,39.57355,-75.59961,Dragon Run Creek,36.6,0.4,8/1/2010,10/31/2010
3496,Linden Hill Farm,39.5675,-75.669722,Dragon Run Creek,123,101.7,1/2/2011,12/31/2018
3498,South Chapel Street Office Park,39.658333,-75.733333,Christina River,1.2,1.4,11/1/2013,6/1/2014
3502,WICKERSHAM,38.885,-75.379722,Cedar Creek,40.7,32.6,4/1/2011,3/31/2016
3513,The Estuary (Phase 1A),38.500278,-75.116667,Little Assawoman,126.8,15,9/1/2012,9/1/2014
3520,RITTENHOUSE STATION,39.677222,-75.765278,Christina River,4.4,5.1,10/1/2010,9/1/2010
3530,Dickerson Minor Subdivision,39.6,-75.7755,Elk Creek,45.36,1.09,9/1/2010,11/30/2010
3533,THE WOODS AT JOHNSON'S CORNER SUBDIVISION,38.478056,-75.141111,Buntings Branch,34.1,30.9,1/1/2011,12/31/2012
3549,BAYWOOD GARDEN VILLAS,38.635556,-75.188333,Indian River,39.3,39.3,1/1/2011,1/1/2015
3552,WAWA NEWARK,39.684722,-75.732222,White Clay Creek,2,1.9,1/1/2011,6/1/2011
3555,SUBURBAN PLAZA II,39.762222,-75.493889,Christina River,5.7,2.5,12/1/2010,12/30/2011
3557,ROCKWOOD PARCEL 1-B,39.620833,-75.675,Red Lion Creek,44,3.5,10/15/2010,10/15/2011
3573,STEWART'S RETREAT,38.626667,-75.491667,Nanticoke River,73.1,10.3,2/1/2011,8/1/2011
3584,Marsh Island/Marsh Island Expansion,38.690833,-75.160556,Rehoboth Bay,113.8,57.8,9/1/2011,9/1/2013
3585,Providence Creek Academy - Football Field & Softball,39.292222,-75.643528,Smyrna River,33.78,3,11/23/2010,12/17/2010
3586,Ingram's Point,38.439,-75.206,Indian River,150.1,29.6,6/1/2011,6/1/2012
3590,"JTM Builders, Inc. - Major Subdivision",38.870914,-75.580508,Marshyhope Creek,5.7,5.5,10/7/2013,10/7/2016
3592,Real Life Community Church,39.425556,-75.769167,Bohemia Creek,22.32,8.9,11/30/2010,11/30/2011
3599,Reserve at Pilottown,38.77,-75.15,Delaware Bay,48.2,28.3,12/1/2010,12/1/2015
3600,Angler's Nest,39.25,-75.61,Lewes-Rehoboth Canal,5.2,3.5,3/1/2011,3/1/2012
3604,Garrison Lake Green Phase 2,39.25,-75.61,Appoquinimink River,63.2,34.26,4/1/2011,4/1/2016
3611,Mariner's Bethel United Methodist Church Additional Entrance & Parking,38.543056,-75.093056,Indian River Bay,12.8,2.6,2/1/2011,6/1/2011
3612,The Landings Residential Subdivision,39.243333,-75.531944,Leipsic River,342.1,136,4/1/2011,4/1/2026
3626,HARRINGTON RETAIL CENTER,38.930278,-75.565,Murderkill River,4.85,4.65,9/1/2011,9/1/2012
3628,Forest Landing Communities LLC,38.520833,-75.120833,Assawoman,125.31,125.31,1/31/2011,1/31/2018
3630,Lincoln Center,39.474167,-75.655,Christina River,56,56,1/1/2012,1/1/2012
3637,Plantation Park Marina,38.5125,-75.108333,Indian River Bay,2.6,3.4,3/1/2011,3/1/2012
3647,Holy Family Parish,39.663936,-75.717675,Red Clay Creek,12.3,0.1,5/1/2011,11/1/2011
3649,Greenside Manor Apartments,38.6475,-75.621111,Nanticoke River,3.75,0.48,4/1/2011,11/1/2011
3668,Red Clay Creek Presbyterian Church,39.75,-75.65,Red Clay Creek,16.9,0.5,3/1/2011,6/1/2011
3669,Cherrywalk Woods,36.566667,-75.65,Broad Creek,45.7,9.5,12/31/2005,12/31/2006
3683,385 Polly Drummond Hill Road - Rehabilitation Facility,39.725508,-75.715111,White Clay Creek,9.82,3,9/1/2011,9/1/2012
3687,Peninsula at Long Neck,38.608333,-75.15,Indian River Bay,9.73,9.27,4/1/2011,4/1/2012
3692,MEADOW WOOD BEHAVIORAL HEALTH SYSTEM,39.639722,-75.629167,Army Creek,10,1.7,6/1/2011,1/1/2012
3698,"Village of Jefferson Crossroads, Phase 3",38.8352,-75.3564,Cedar Creek,103.4,50,3/1/2002,1/1/2015
3699,Artesian Water Co. Bethel Church Rd Treatment Facility,39.522861,-75.762806,C & D Canal West,2.1,3.8,5/15/2011,11/15/2011
3708,OYSTER COVE,38.666667,-75.166667,Broadkill River,9.4,9.4,9/1/2011,9/1/2014
3711,HOLY ANGELS CHURCH -FOOTBALL FIELD,39.698889,-75.722778,White Clay Creek,21.15,3.5,5/16/2011,6/30/2011
3715,Asbury Square Shopping Center,38.9966,-75.4555,Murderkill River,7.7,4.8,8/1/2011,11/30/2012
3721,DOVER SCOUT RESERVATION - BOY SCOUTS OF AMERICA,39.158733,-75.517433,St. Jones River,86.96,60,6/1/2011,6/1/2013
3724,57 RED MILL ROAD LOT 13,39.691667,-75.708333,White Clay Creek,0.9,0.5,8/1/2011,7/30/2012
3727,LANDS OF THREE CHAMPIONS LLC,39.779167,-75.508333,Shellpot Creek,0.9,0.9,7/1/2012,7/1/2013
3731,LOGANBERRY VILLAGE,39.066,-75.546,Murderkill River,59.7,30,8/1/2011,8/1/2012
3732,RT 40 NATURAL GAS PIPELINE EXTENSION,39.605278,-75.776111,Christina River,1.2,1.2,7/15/2011,10/15/2011
3733,WALKER PROPERY,39.782222,-75.688333,Red Clay Creek,11.7,1.8,9/1/2011,12/31/2012
3734,136 ELKTON ROAD,39.679444,-75.760833,Christina River,1.2,1.4,8/1/2011,7/1/2012
3738,NEWARK CHRYSLER,39.687778,-75.742778,White Clay Creek,2,2,8/1/2011,12/1/2011
3742,WHITEMAN PROPERTY,39.422222,-75.7625,Appoquinimink River,8,4.5,11/1/2011,3/1/2012
3746,C1936-3 PROMENADE AT CHRISTIANA,39.674444,-75.668333,White Clay Creek,45.7,38.3,7/1/2012,7/1/2014
3761,THE PLAZA AT MILFORD EXPANSION AND ADDITION,38.917222,-75.44,Mispillion River,21.4,6.6,9/1/2011,12/1/2011
3763,3511 DUPONT BLVD,39.253611,-75.585556,Leipsic River,4.2,4.9,10/1/2011,6/1/2012
3767,LIBERTY KNOLL PHASE II,39.29046,-75.62849,Smyrna River,4.1,5.4,10/1/2011,10/1/2015
3769,MCCOY PROPERTIES,38.898,-75.4248,Mispillion River,8.7,1.1,9/1/2011,11/1/2011
3771,900 FRANKLYN STREET,39.7375,-75.570833,Christina River,0.5,0.5,6/30/2011,2/15/2012
3772,DELAWARE MILITARY ACADEMY,36.351667,-75.980556,Christina River,3.4,3.2,6/15/2011,12/31/2011
3778,CEDAR GROVE,38.730278,-75.159722,Lewes-Rehoboth Canal,27.45,7.06,3/1/2012,3/1/2015
3781,2011 EXPANSION PROJECT SEAFORD,38.621111,-75.589444,Nanticoke River,1,1,8/1/2011,10/1/2012
3782,Pepper Creek Dredging Project ODF B REFURBISHMENT,38.5575,-75.217778,Indian River Bay,5,5,8/22/2011,9/9/2011
3783,Farmington Transfer Station,38.862,-75.5787,Nanticoke River,20,17.12,8/22/2011,3/1/2012
3784,116 AMSTEL AVENUE,39.68082,-75.756402,White Clay Creek,0.5,0.5,9/1/2011,8/30/2012
3789,2011 WORCHESTER COUNTY EXPANSION PROJECT,38.528709,-75.248408,Indian River,11,33,8/22/2011,12/15/2011
3807,BAYBERRY TOWN CENTER,30.505167,-75.408142,Appoquinimink River,69.43,75.67,4/1/2012,9/1/2022
3808,Fordmill Electrical Substation,38.921481,-75.446935,Mispillion River,10.48,9.14,9/19/2011,9/19/2012
3821,HARRINGTON GARDEN APARTMENTS,38.921944,-75.557222,Murderkill River,18.35,14.2,4/1/2013,9/1/2013
3822,M & L VENTURES SITE PLAN,39.147252,-75.488884,St. Jones River,10,10,11/1/2011,7/1/2012
3827,HANGER 142 BLDG AND PARKING LOT EXPANSION,39.675,-75.613056,Army Creek,5.9,1.5,11/1/2011,5/1/2012
3834,DEEP VALLEY FARM,38.742,-75.186,Lewes-Rehoboth Canal,88.44,82.93,12/1/2011,12/1/2016
3837,VISTA AT RED LION SECTION TWO,39.604167,-75.675,Red Lion Creek,144.8,86,6/1/2012,6/1/2017
3838,VISTA AT RED LION SECTIONONE,39.6,-75.675,Red Lion Creek,56.7,35.7,6/1/2012,6/1/2017
3839,CARROLL COMMONS,39.681111,-75.756667,Christina River,0.8,0.8,12/1/2011,8/31/2012
3844,DOVER BEHAVIORAL HEALTH SYSTEMS,39.153611,-75.485278,Leipsic River,14.7,1.03,2/1/2012,9/1/2012
3856,Villages at Herring Creek Phase II,38.66833,-75.15722,Rehoboth Bay,17.6,14.1,3/1/2012,5/1/2013
3857,UD ECRH OFFSITE STORAGE,39.663031,-75.76127,Upper Christina River,244.1,4,12/1/2011,12/1/2012
3858,EAST CAMPUS RESIDENCE HALLS,39.676389,-75.746111,White Clay Creek,32.6,6.6,12/1/2011,8/15/2013
3861,LOPEZ VEHICLE REPAIR FACILITY,38.648889,-75.363611,Broadkill River,0.3,0.4,1/2/2012,1/2/2013
3876,SOUTH MUDDY BRANCH MAINTENANCE DIPOUT,39.2008,-75.4906,Delaware Bay,7.4,7.4,10/6/2011,10/6/2014
3882,Replacement of the South Delaware Interceptor and Relief Section 4,39.708333,-75.625,Delaware River,144,0.4,7/1/2012,12/1/2012
3896,BAYVIEW ESTATES,39.4925,-75.643889,Delaware Bay,7,4.23,3/1/2012,3/1/2014
3928,COMMONWEALTH TRUST PROPERTY,39.434167,-75.721111,Appoquinimink River,29.3,21.5,2/20/2012,10/15/2012
3933,BAYHEALTH MOB EMERGENCY DEPARTMENT ADDITION,39.2928,-75.5919,Smyrna River,8.39,1.95,4/1/2012,10/1/2012
3935,CNB BRANCH CAMDEN STATION,39.0975,-75.545278,St. Jones River,1.11,1.2,4/1/2012,11/15/2012
3941,MUMFORD & MILLER SOIL STOCKPILE,39.649167,-75.725278,Red Lion Creek,12.45,3,3/8/2012,12/14/2014
3956,Hickman Village Lot 8,38.550556,-75.553056,Broad Creek,1.03,1,5/1/2012,5/1/2013
3957,CARPENTER SPORTS BUILDING,39.684167,-75.752222,White Clay Creek,19.9,4.3,3/26/2012,9/1/2013
3968,SOUTHPOINTE CROSSING,38.610833,-75.592778,Nanticoke River,29.9,24.2,1/31/2013,1/31/2014
3976,RIVERSIDE PLAZA,38.615278,-75.216111,Indian River Bay,21.3,27,6/1/2012,6/1/2015
3978,THE VILLAGES AT RED MILL POND,38.75,-75.216667,Broadkill River,250,250,5/1/2012,5/1/2022
3981,KING FARMS SUBDIVISION,38.564167,-75.508056,Broad Creek,55.1,29.4,1/1/2013,1/1/2015
4004,STORMWATER MANAGEMENT POND IMPROVEMENT PROJECTS,39.721108,-75.537598,Christina River,7.1,0.3,6/30/2012,9/1/2012
4009,NORTH STREET AREA IMPROVEMENTS PROJECTS,39.156667,-75.525278,St. Jones River,3.07,3,5/1/2012,5/1/2013
4018,PIONEER MATERIALS,38.577977,-75.275045,Indian River,36.98,18.98,12/1/2013,5/31/2014
4028,1020 DARLEY ROAD,39.818611,-75.479722,Naamans Creek,1.8,0.4,9/1/2012,12/31/2004
4031,MODI PROFESSIONAL PLAZA,39.674444,-75.702222,Christina River,4.5,1.76,4/1/2013,6/30/2013
4035,NEW CASTLE TOWN CENTER,39.677222,-75.609167,Army Creek,58.9,58.9,1/1/2013,1/1/2018
4036,REHOBOTH SHORES CAMPSITES -PHASE ONE,38.631389,-75.138333,Rehoboth Bay,23.2,19.5,11/1/2012,4/30/2013
4037,BETHANY BEACH PARK PHASE 1,38.538889,-75.060278,Assawoman,5.9,5.8,9/1/2012,10/1/2012
4039,BAYSIDE MINI STORAGE,38.481667,-75.150833,Assawoman,4,3.5,10/1/2012,5/1/2013
4046,RT 20 BORROW PIT,38.614906,-75.466281,Nanticoke River,190.5,140.5,3/1/2012,3/1/2020
4048,INGRAMS MOTEL,38.787222,-75.319444,Broadkill River,2.9,2.5,3/1/2013,9/1/2013
4051,RAILROAD SQUARE TOWNHOUSES,39.28255,-75.628628,Smyrna River,4.88,3.62,12/1/2012,12/1/2014
4058,KATE'S PLACE & CHOATE STREET TOWNHOMES,39.685278,-75.747222,White Clay Creek,0.6,1,10/1/2012,6/1/2013
4059,"QUAILS NEST- PHASE 1, 2 & 3 - SEE COMMENTS BOX",39.144167,-75.5875,St. Jones River,124.1,53.9,8/1/2012,8/1/2015
4061,DEERFIELD MEADOWS,38.633056,-75.549167,Broad Creek,40.5,30.5,6/1/2014,6/1/2016
4066,LAND TANK AREA DRAINAGE IMPROVEMENTS,39.750707,-75.501705,Delaware River,112,1.4,9/21/2012,10/15/2012
4071,SHORELINE STABILIZATION,39.750707,-75.501705,Delaware River,112,0.9,10/1/2012,10/31/2012
4077,SPRING TOWN FARMS,38.721512,-75.24417,Broadkill River,45.05,37.5,6/1/2013,6/1/2016
4080,BATSON CREEK ESTATES,38.483333,-75.137778,Little Assawoman,55.2,35.69,6/30/2013,1/1/2015
4088,REHOBOTH SHORES AREA 1,38.625556,-75.138611,Rehoboth Bay,13,19.5,1/1/2013,8/31/2013
4097,RECORD MINOR SUBDIVISION FOR MICHAEL & LINDA SIELSKI,39.404774,-75.672928,Appoquinimink River,7.42,2,2/1/2013,2/7/2013
4101,COLUMBIA PLACE AT GARDEN OF EDEN ROAD,39.808611,-75.553333,Brandywine Creek,15.4,14.9,5/1/2013,5/1/2023
4110,FARMINGTON - PHASE 2,39.582778,-75.761389,C & D Canal West,50,50,12/1/2012,12/1/2015
4111,132 EAST DELAWARE AVENUE,39.682222,-75.748056,White Clay Creek,0.5,0.5,12/1/2012,6/1/2013
4113,FORTY NINE PINES,39.179167,-75.591667,St. Jones River,63.5,47.23,12/1/2012,12/1/2014
4115,WYNSOME KNOLL - PHASE 4,39.108611,-75.558611,St. Jones River,2.8,3.2,6/1/2012,12/31/2013
4116,DSWA Cells 1 & 2 Leachate Storage & Transmission System Modifications,38.5875,-75.448611,Broad Creek,566,1.9,2/10/2013,5/10/2013
4118,GREENWAY PLACE,38.696111,-75.498056,Deep Creek,27.9,5.2,7/15/2013,11/15/2014
4129,MONTROSE TERRACE LOTS 215-217,39.766667,-75.5,Shellpot Creek,0.2,0.2,1/15/2013,1/15/2014
4133,RITTENHOUSE STATION - THE LOFTS,39.666667,-75.75,White Clay Creek,0.83,0.83,12/10/2012,6/1/2013
4135,OCEAN VIEW BEACH CLUB,38.528025,-75.07797,Little Assawoman,71.6,59.1,5/1/2013,5/1/2018
4159,MARKET PLACE AT CHRISTIANA,36.679167,-75.660833,Christina River,44,40.75,3/1/2013,10/30/2015
4166,EXPANSION TO MILLWOOD INDUSTRIAL ST IMPROVEMENTS,38.575,-75.283056,Indian River Bay,28.5,8.8,6/30/2013,9/30/2013
4167,ROCKWOOD PARCEL 1-C,39.619167,-75.678889,Red Lion Creek,10.8,8.1,3/1/2014,12/31/2015
4168,EAGLE HUNT,39.668333,-75.655833,White Clay Creek,13.95,5.1,5/1/2013,5/1/2014
4181,COTTAGES AT THE PLAZA,39.669444,-75.776944,Christina River,24.4,15.3,5/1/2013,8/31/2014
4184,SHOAL HARBOR,38.7145,-75.0945,Lewes-Rehoboth Canal,2.3,2.3,8/1/2013,9/30/2014
4185,OAK FOREST ESTATES,39.1832,-75.7057,Choptank River,17,9.5,6/1/2013,6/1/2015
4191,FRENCH PARK,39.627222,-75.710556,Christina River,100.5,39.5,9/1/2013,9/1/2018
4194,VILLAGE OF COLLEGE PARK,38.703333,-75.409722,Nanticoke River,84.71,73.31,6/1/2013,6/1/2018
4195,COMMERCE STREET UTILITY,39.294167,-75.614167,Smyrna River,1.55,1.55,3/1/2013,8/1/2013
4202,503 ROCKWOOD SUBDIVISION,39.770556,-75.523611,Shellpot Creek,2.2,0.7,7/1/2013,9/1/2015
4218,PRODUCE MARKETING ASSOCIATION INC,39.670833,-75.770833,Christina River,1.9,0.4,3/1/2013,9/1/2013
4220,BELLE AYRE TP 5-31-10-00 388 &390THUR466,38.641667,-75.625,Nanticoke River,22,22,1/3/2002,12/31/2023
4235,AMICK FARMS - DELMAR MILL GRAIN BINS,38.478058,-75.5746,Broad Creek,31.56,1.25,3/18/2013,9/30/2013
4242,WHITEWOOD VILLAGE,39.634167,-75.718889,Christina River,164.6,37.7,6/25/2013,12/31/2018
4247,THE WOODS AT ARNELL CREEK,38.705833,-75.141667,Rehoboth Bay,19.72,9.99,9/1/2013,9/1/2015
4248,"DARLEY GREEN-BLOCKS A1,A2,B1,B2,B3,D,E1,S1,&S2",39.978889,-75.766111,Naamans Creek,12.2,12.2,7/1/2013,7/1/2016
4251,"REHOBOTH BEACH YACHT & COUNTRY CLUB-PHASES 7, 8, 9",38.698889,-75.106111,Rehoboth Bay,44.1,23.9,4/23/2013,4/30/2017
4255,DEANG RIVER ROAD TRAINING SITE,39.63,-75.61,Delaware River,234,4,6/1/2013,6/30/2014
4264,OLD STATE ROAD SELF STORAGE,39.966667,-75.966667,Army Creek,13.51,3.66,12/1/2013,12/31/2014
4270,THE LEGACY ,37.01326,-75.520264,Mispillion River,101.48,88.54,1/1/2015,1/1/2025
4274,MARVEL PLAZA,39.693333,-75.6525,White Clay Creek,5.6,4.1,10/1/2013,10/1/2014
4275,U BASEBALL STADIUM IMPROVEMENTS,39.663333,-75.746667,Christina River,354.6,5.8,10/1/2013,6/1/2014
4288,Georgetown Medical Center,38.683056,-75.393333,Broadkill River,4.71,3.19,8/1/2013,5/1/2014
4290,CIRE - CITY OF WILMINGTON WWTP PIPELINE PROJECT,39.733869,-75.517981,Christina River,61.2,2.6,5/1/2013,10/31/2013
4303,THE RESIDENCES AT RIVERPLACE,38.474167,-75.608056,Nanticoke River,2.45,2.45,8/1/2013,10/30/2014
4305,THE OVERLOOK,38.471356,-75.082009,Little Assawoman,146.7,41.9,9/1/2013,9/1/2015
4306,"BAY FOREST CLUB -PHASE 3.1 - PART OF SECTIONS M, N &O",38.570556,-75.121667,Indian River Bay,385.2,37.9,7/1/2013,6/1/2014
4319,Cartanza substation,39.205556,-75.495278,Little Creek,2.48,1.45,8/1/2013,12/31/2014
4321,SPEED CITI,38.674588,-75.548837,Nanticoke River,28,18,4/1/2013,6/1/2013
4325,RED MILL SUBDIVISION PHASE 3,38.747,-75.222,Broadkill River,166.57,20.17,9/1/2013,9/1/2014
4326,Keogh Contracting Company,39.738611,-75.531389,Brandywine Creek,1.8,1.4,7/31/2013,9/15/2014
4327,KROHE PROPERTY,39.685833,-75.751667,White Clay Creek,0.05,0.5,8/1/2013,6/1/2013
4328,COASTAL WAY EXCHANGE LLC,38.7425,-75.149444,Rehoboth Bay,0.4,0.5,10/1/2013,4/1/2014
4329,VILLAGES OF NOBLES POND PHASES 3A &4A,39.204167,-75.591667,Leipsic River,151.2,104.4,9/1/2015,9/1/2019
4334,GNJS LLC,39.605556,-75.6475,Army Creek,1.8,0.7,10/1/2013,3/1/2014
4339,DE ARNG,39.728611,-75.623056,White Clay Creek,4.5,0.6,1/5/2014,3/5/2014
4359,MARGARITAS RESTAURANT,39.732778,-75.560556,Christina River,4.6,0.34,3/1/2013,8/1/2013
4365,WORSHIP CHRISTIAN CENTER,39.094167,-75.503056,St. Jones River,48,12,6/1/2014,9/1/2016
4370,Tull Property,38.726125,-75.591389,Nanticoke River,2.66,4.08,11/1/2013,5/30/2014
4374,NORFOLK SOUTHERN MAIN TRACK,39.5875,-75.654167,Red Lion Creek,189.9,1,10/1/2013,12/31/2014
4375,WASHINGTON PARK PROJECT -POST CONSTRUCTION PHASE,39.658056,-75.579444,Delaware River,15.16,2,10/1/2013,10/15/2013
4376,SR 1 SOUTH FREDERICA GRADE SEPARATED IMTERSECTION- T200812202,38.990556,-75.448333,Murderkill River,106.7,106.7,10/1/2013,12/31/2015
4377,DELAWARE AIR PARK,39.218056,-75.596111,Leipsic River,304.6,131.2,11/1/2013,10/1/2014
4386,OLD MILL ESTATES,38.292574,-75.070913,Little Assawoman,12.5,8.9,11/1/2013,11/1/2014
4387,IKO MANUFACTURING INC,39.752778,-75.497778,Delaware River,13.1,1.6,12/1/2013,12/1/2019
4397,DARLEY GREEN - BLOCKS G & H,39.805278,-75.459722,Naamans Creek,4.9,4.9,10/1/2013,10/1/2015
4404,STREAM STABILIZATION PROJECT - TSIONAS PROPERTY,39.759722,-75.66,Army Creek,2.54,2.54,6/1/2014,6/1/2014
4407,BAY PINES CLUSTER SUBDIVISION,38.677222,-75.677222,Rehoboth Bay,17.5,8.3,3/1/2014,3/1/2015
4410,29-35 PROSPECT AVENUE,39.686522,-75.3058,White Clay Creek,0.36,0.42,11/1/2013,6/1/2014
4428,JEWISH COMMUNITY CEMETERY ASSOCIATION,39.782222,-75.541389,Delaware River,16.9,0.03,1/30/2014,9/30/2014
4429,HUDYMA POULTRY HOUSES 2,38.861111,-75.565278,Nanticoke River,41.7,29.5,9/5/2013,9/5/2016
4430,HUDYMA POULTRY HOUSES 1,38.862778,-75.570278,Nanticoke River,52,43,9/5/2013,9/5/2015
4431,WARRINGTON AGURICULTURE STRUCTURE,38.878611,-75.522778,Nanticoke River,14.7,14.7,7/1/2013,7/1/2016
4435,7 DAYS FARMERS MARKET,39.704444,-75.552222,Delaware River,3.1,1.6,11/4/2013,4/30/2014
4438,THE DATA CENTERS LLC,39.6625,-75.766944,White Clay Creek,43,45.5,12/15/2013,3/15/2014
4441,CHORMAN POULTRY PLAN,38.8446,-75.5048,Nanticoke River,11.35,6,11/30/2013,8/1/2014
4442,FULL HOUSE FARM POULTRY PLAN,38.8446,-75.5048,Nanticoke River,60,9,4/1/2014,12/1/2014
4446,"NORTHSIDE CENTER PARCEL ""C""",39.46,-75.72,Appoquinimink River,2.19,2.19,11/1/2013,11/1/2014
4454,GORDON HEIGHT SLOT 35 &36 AND PARTS OF 26 &27,39.758333,-75.495833,Shellpot Creek,0.08,0.8,12/20/2013,12/20/2014
4462,Marvel Museum Addition,38.672768,-75.378387,Indian River,11.25,1,3/1/2014,3/1/2015
4464,CUMBY TRACT BORROW PIT,38.53,-75.13,Indian River Bay,7.2,4.46,1/1/2014,1/1/2034
4471,GROVE STREET AND DELAWARE AVENUE WATERMAIN REPLACEMENT,38.4569,-75.5683,Nanticoke River,2,0.28,3/1/2014,6/1/2014
4473,LIGHTHOUSE LAKES,38.451389,-75.176389,Assawoman,138.5,130,1/13/2013,1/13/2018
4474,HOCKER STORAGE,38.539722,-75.13,Indian River,4.2,2,3/1/2014,4/1/2014
4475,AMERICANA BAYSIDE -KNOX PROPERTY,38.458747,-75.12305,Little Assawoman,27.9,27.9,6/1/2014,6/1/2015
4479,157 & 167 MASSEYS CHURCH ROAD,39.362422,-75.65944,Appoquinimink River,32.4,7.4,1/6/2014,7/30/2015
4484,EVERGREEN TERRACE,39.141944,-75.527778,St. Jones River,2.35,1.26,4/1/2014,8/1/2014
4490,Georgetown Crossing,38.682188,-75.398308,Nanticoke River,30.17,15.06,8/1/2014,8/1/2015
4492,THE ESTUARY PHASE 1A,38.51116,-75.11639,Indian River Bay,15,15,4/15/2014,4/15/2017
4493,PELICAN POINT PHASES 2-5,38.649555,-75.221833,Indian River,188.3,173,5/1/2014,4/30/2019
4495,ONE SOUTH MAIN,39.682222,-75.756111,Christina River,0.34,0.32,3/1/2014,4/1/2015
4496,MILTON PARK CENTER,38.789167,-75.314722,Broadkill River,11.47,3,5/1/2014,5/1/2015
4508,EZION FAIR BAPTIST CHURCH - WHOLENESS CENTER,39.728056,-75.541944,Christina River,2.9,1.7,9/1/2013,12/31/2015
4509,POINT FARM,38.5706,-75.1976,Indian River Bay,3.8,2,2/15/2014,2/15/2016
4524,REHOBOTH GATEWAY,38.7127,-75.1048,Rehoboth Bay,8.66,8.78,6/1/2014,6/1/2015
4526,BETHANY BEACH OCEAN SUITES,38.53745,-75.054831,Little Assawoman,1.5,1.5,3/1/2014,4/30/2014
4535,ROCKWOOD PARCEL 1-A,39.623889,-75.676667,Red Lion Creek,37.1,37.1,3/1/2015,12/31/2018
4539,MCDONALD'S REBUILD,39.685556,-75.7375,White Clay Creek,1.41,1.15,4/7/2014,8/1/2014
